Code Name,Name,Score,Users
1468M,Similar Sets,2300,495
1468L,Prime Divisors Selection,2700,217
1468K,The Robot,1600,3280
1468J,Road Reform,1800,2138
1468I,Plane Tiling,2500,327
1468H,K and Medians,2200,1207
1468G,Hobbits,2500,570
1468F,Full Turn,1700,2397
1468E,Four Segments,800,6143
1468D,Firecrackers,1700,2737
1468C,Berpizza,1400,3966
1468B,Bakery,2900,101
1468A,LaIS,2200,1011
1467E,Distinctive Roots in a Tree,2500,857
1467D,Sum of Paths,2200,2639
1467C,Three Bags,1900,4646
1467B,Hills And Valleys,1700,8024
1467A,Wizard of Orz,900,18318
1466I,The Riddle of the Sphinx,3400,90
1466H,Finding satisfactory solutions,3300,86
1466G,Song of the Sirens,2600,618
1466F,Euclid's nightmare,2100,2355
1466E,Apollo versus Pan,1800,5139
1466D,13th Labour of Heracles,1500,8380
1466C,Canine poetry,1300,12760
1466B,Last minute enhancements,800,18022
1466A,Bovine Dilemma,800,19174
1464F,My Beautiful Madness,3500,56
1463F,Max Correct Set,3100,205
1463E,Plan of Lectures,2400,991
1463D,Pairs,1900,3091
1463C,Busy Robot,1800,4144
1463B,Find The Array,1400,11365
1463A,Dungeon,1100,15914
1462F,The Treasure of The Segments,1800,4305
1462E2,Close Tuples (hard version),1700,5661
1462E1,Close Tuples (easy version),1500,8389
1462D,Add to Neighbour and Remove,1400,10473
1462C,Unique Number,900,19322
1462B,Last Year's Substring,800,19631
1462A,Favorite Sequence,800,24008
1461F,Mathematical Expression,2700,342
1461E,Water Level,2200,1673
1461D,Divide and Summarize,1600,6215
1461C,Random Events,1500,7664
1461B,Find the Spruce,1400,9195
1461A,String Generation,800,15848
1459B,Move and Turn,1300,9449
1459A,Red-Blue Shuffle,800,13601
1458F,Range Diameter Sum,3500,79
1458E,Nim Shortcuts,3100,205
1458D,Flip and Reverse,3100,358
1458C,Latin Square,2700,658
1458B,Glass Half Spilled,2000,2324
1458A,Row GCD,1600,8815
1456E,XOR-ranges,3500,82
1455G,Forbidden Value,2900,165
1455F,String and Operations,2800,270
1455E,Four Points,2400,1080
1455D,Sequence and Swaps,1600,8347
1455C,Ping-pong,1100,14791
1455B,Jumps,1200,14666
1455A,Strange Functions,800,20095
1454F,Array Partition,2100,2580
1454E,Number of Simple Paths,2000,3787
1454D,Number into Sequence,1300,12785
1454C,Sequence Transformation,1200,14988
1454B,Unique Bid Auction,800,20829
1454A,Special Permutation,800,25798
1453F,Even Harder,2700,475
1453E,Dog Snacks,2300,1466
1453D,Checkpoints,1900,3235
1453C,Triangles,1700,4866
1453B,Suffix Operations,1400,9440
1453A,Cancel the Trains,800,17683
1452G,Game On Tree,2700,195
1452F,Divide Powers,2900,182
1452E,Two Editorials,2500,1144
1452D,Radio Towers,1600,5789
1452C,Two Brackets,800,15213
1452B,Toy Blocks,1400,10080
1452A,Robot Program,800,17868
1451F,Nullify The Matrix,2700,573
1451E2,Bitwise Queries (Hard Version),2300,1972
1451E1,Bitwise Queries (Easy Version),2000,2985
1451D,Circle Game,1700,6890
1451C,String Equality,1400,10321
1451B,Non-Substring Subsequence,900,14771
1451A,Subtract or Divide,800,18577
1450H2,Multithreading (Hard Version),3300,53
1450H1,Multithreading (Easy Version),2900,197
1450G,Communism,3500,80
1450F,The Struggling Contestant,2400,983
1450E,Capitalism,2700,599
1450D,Rating Compression,1800,3984
1450C2,Errich-Tac-Toe (Hard Version),2300,2453
1450C1,Errich-Tac-Toe (Easy Version),2100,4113
1450B,Balls of Steel,1000,11674
1450A,Avoid Trygub,800,14703
1447B,Numbers Box,1000,10808
1447A,Add Candies,800,11625
1446F,Line Distance,3200,119
1446E,Long Recovery,3500,41
1446D2,Frequency Problem (Hard Version),3000,413
1446D1,Frequency Problem (Easy Version),2600,860
1446C,Xor Tree,2100,2205
1446B,Catching Cheaters,1800,5208
1446A,Knapsack,1300,9998
1445B,Elimination,900,12307
1445A,Array Rearrangment,800,15352
1444E,Finding the Vertex,3500,61
1444D,Rectangular Polyline,2900,270
1444C,Team-Building,2500,939
1444B,Divide and Sum,1900,4520
1444A,Division,1500,8553
1443E,Long Permutation,2400,926
1443C,The Delivery Dilemma,1400,9502
1443B,Saving the City,1300,10709
1443A,Kids Seating,800,14013
1442F,Differentiating Games,3400,37
1442E,"Black, White and Grey Tree",3000,260
1442D,Sum,2800,718
1442C,Graph Transpositions,2400,1097
1442B,Identify the Operations,1800,3185
1442A,Extreme Subtraction,1800,6028
1440B,Sum of Medians,900,12971
1440A,Buy the String,800,16118
1439E,Cheat and Win,3500,62
1439D,INOI Final Contests,3100,170
1439C,Greedy Shopping,2600,1112
1439B,Graph Subset Problem,2600,945
1439A2,Binary Table (Hard Version),1900,3846
1439A1,Binary Table (Easy Version),1500,7075
1438F,Olha and Igor,3000,282
1438E,Yurii Can Do Everything,2500,848
1438D,Powerful Ksenia,2200,2863
1438C,Engineer Artem,2000,7101
1438B,Valerii Against Everyone,1000,13095
1438A,Specific Tastes of Andre,800,16073
1437G,Death DBMS,2600,524
1437F,Emotional Fishermen,2600,627
1437E,Make It Increasing,2200,2415
1437D,Minimal Height Tree,1600,8053
1437C,Chef Monocarp,1800,6957
1437B,Reverse Binary Strings,1200,13415
1437A,Marketing Scheme,800,15664
1436F,Sum Over Subsets,2800,273
1436E,Complicated Computations,2400,1276
1436D,Bandit in a City,1900,4161
1436C,Binary Search,1500,7654
1436B,Prime Square,900,15324
1436A,Reorder,800,18240
1434E,A Convex Game,3500,66
1433G,Reducing Delivery Cost,2100,2789
1433F,Zero Remainder Sum,2100,3999
1433E,Two Round Dances,1300,12683
1433D,Districts Connection,1200,14346
1433C,Dominant Piranha,900,19035
1433B,Yet Another Bookshelf,800,21857
1433A,Boring Apartments,800,27457
1431J,Zero-XOR Array,3400,14
1431I,Cyclic Shifts,2900,27
